epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.79554,1.62145,5.58557,1.37159,0.0241,0.66667,0.665,0.32133,0.93662,3.23111,0.96735,0,0,0
2,10.3074,1.01381,4.2976,1.11802,0.0241,0.66667,0.665,0.32133,0.93887,3.22844,0.96736,1.28753e-05,1.28753e-05,1.28753e-05
3,11.4999,1.399,3.98607,1.2121,0.02439,0.66667,0.665,0.32096,0.92476,3.22775,0.96298,2.29212e-05,2.29212e-05,2.29212e-05
4,12.6133,2.19063,8.43452,1.45369,0.02381,0.66667,0.665,0.31625,0.9265,3.22852,0.96225,3.01376e-05,3.01376e-05,3.01376e-05
5,13.7903,1.18108,4.32687,0.91904,0.02381,0.66667,0.665,0.31625,0.9265,3.22852,0.96225,3.45246e-05,3.45246e-05,3.45246e-05
6,15.0605,1.45903,4.29886,1.03113,0.03659,1,0.67707,0.32472,0.86893,3.22913,0.95343,3.60822e-05,3.60822e-05,3.60822e-05
7,16.1033,0.63312,5.05562,0.85069,0.03659,1,0.67707,0.32472,0.86893,3.22913,0.95343,3.48104e-05,3.48104e-05,3.48104e-05
8,17.1908,1.20883,5.76266,1.16801,0.03659,1,0.67707,0.40837,0.86228,3.22698,0.94595,3.07092e-05,3.07092e-05,3.07092e-05
9,18.4158,0.73429,4.62388,0.9152,0.03659,1,0.67707,0.40837,0.86228,3.22698,0.94595,2.37786e-05,2.37786e-05,2.37786e-05
10,19.5173,2.26645,7.01201,1.50196,0.03846,1,0.67786,0.37545,0.88158,3.20933,0.93975,1.40185e-05,1.40185e-05,1.40185e-05
